,Tipo Conexión,Tipo Carga,Tipo Corriente,Provincia
1298,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1299,TESLA i MENNEKES.M,ND 0kW,AC/DC,Barcelona
1300,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1301,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1302,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1303,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1304,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Gerona
1305,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1306,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1307,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1308,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1309,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1310,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
1311,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1312,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1313,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1314,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1315,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1316,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1317,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
1318,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1319,CCS Combo2,Carga Ultrarrápida (DC),DC,Lérida
1320,TESLA,ND 0kW,AC,Gerona
1321,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1322,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1323,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
1324,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1325,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1326,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1327,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
1328,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Barcelona
1329,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1330,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1331,TESLA i MENNEKES.M,ND 0kW,AC/DC,Barcelona
1332,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1333,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1334,MENNEKES.M,Carga Rápida (DC),AC,Tarragona
1335,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1336,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1337,TESLA,ND 0kW,AC,Barcelona
1338,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1339,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1340,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1341,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
1342,,ND 0kW,AC,Lérida
1343,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
1344,MENNEKES.M,Carga Lenta (AC),AC,Tarragona
1345,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
1346,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1347,Schuko,ND 0kW,AC,Barcelona
1348,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
1349,CCS Combo2+MENNEKES.M,Carga Ultrarrápida (DC),AC/DC,Gerona
1350,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
1351,MENNEKES.M,Carga Rápida (DC),AC,Gerona
1352,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
